p_id,第一眼,第二眼,第三眼,关键词串,视觉化要点,一句话
PS00001,神秘,通透,温润,神秘、通透、温润,神秘→收紧动作幅度与表情；通透→锐利眼型；温润→层叠结构,第一眼神秘，第二眼通透，第三眼温润
PS00002,温柔,阴郁,悲悯,温柔、阴郁、悲悯,温柔→收紧动作幅度与表情；阴郁→锐利眼型；悲悯→破损细节,第一眼温柔，第二眼阴郁，第三眼悲悯
PS00003,沉稳,温雅,虔诚,沉稳、温雅、虔诚,沉稳→收紧动作幅度与表情；温雅→非人平静；虔诚→简洁剪影,第一眼沉稳，第二眼温雅，第三眼虔诚
PS00004,狠戾,温雅,坚毅,狠戾、温雅、坚毅,狠戾→收紧动作幅度与表情；温雅→稳定眼神；坚毅→破损细节,第一眼狠戾，第二眼温雅，第三眼坚毅
PS00005,神性,克己,悲悯,神性、克己、悲悯,神性→收紧动作幅度与表情；克己→强烈轮廓；悲悯→破损细节,第一眼神性，第二眼克己，第三眼悲悯
PS00006,明亮,神性,天真,明亮、神性、天真,明亮→收紧动作幅度与表情；神性→放松眼尾/嘴角；天真→破损细节,第一眼明亮，第二眼神性，第三眼天真
PS00007,直率,躁动,明亮,直率、躁动、明亮,直率→收紧动作幅度与表情；躁动→稳定眼神；明亮→层叠结构,第一眼直率，第二眼躁动，第三眼明亮
PS00008,慵懒,明亮,凌厉,慵懒、明亮、凌厉,慵懒→收紧动作幅度与表情；明亮→稳定眼神；凌厉→层叠结构,第一眼慵懒，第二眼明亮，第三眼凌厉
PS00009,凌厉,暴烈,柔软,凌厉、暴烈、柔软,凌厉→收紧动作幅度与表情；暴烈→非人平静；柔软→破损细节,第一眼凌厉，第二眼暴烈，第三眼柔软
PS00010,沧桑,沉稳,张扬,沧桑、沉稳、张扬,沧桑→收紧动作幅度与表情；沉稳→非人平静；张扬→简洁剪影,第一眼沧桑，第二眼沉稳，第三眼张扬
