archetype_id,名称,核心,行为模式,视觉倾向,常见阵营
AT01,英雄,成长 / 责任 / 突破,先冲再想，护住身后的人,挺拔剪影 + 明亮色块 + 标志性武器,镇墟司/宗门
AT02,守护者,稳定 / 防御 / 牺牲,站在最前面，替人挡下,宽厚肩线 + 重甲 + 面盾,镇墟司/王庭
AT03,猎杀者,精准 / 冷酷,一击之后不回头,修长低重心 + 深色 + 短刃,灰区/游侠
AT04,谋略者,计算 / 控制,先布棋，再落子,规整剪影 + 书卷气 + 暗纹,学宫/王庭
AT05,狂战士,力量 / 压迫,不闪不避，只向前,魁梧骨架 + 重器 + 战损,战士团/恶灵
AT06,妖异者,魅惑 / 危险,美丽与杀意同时出现,异色瞳 + 反差配色 + 非人称武器,恶灵/复苏体
AT07,游侠,自由 / 生存,不被任何一面墙困住,轻装 + 旧物堆叠 + 常用工具,灰区/游侠
AT08,医者,救赎 / 旁观,先止血，再问对错,素净 + 药囊 + 稳定手,宗门/学宫
AT09,隐修,克制 / 顿悟,不出手则已，出手即定局,简朴 + 极简剪影 + 一物,隐世/宗门
AT10,反叛者,质疑 / 打破,规矩是给别人定的,不对称剪裁 + 记号 + 破损,灰区/流亡者
AT11,匠人,专注 / 造物,东西比人可靠,工具挂满身 + 低调色 + 厚手掌,商贾/宗门
AT12,囚徒,枷锁 / 复仇,先记住锁链的形状,束缚结构 + 旧伤 + 眼神不散,流亡者/灰区
AT13,祭司,信仰 / 代价,替某样东西说话,仪典层叠 + 苍白 + 符号,宗门/王庭
AT14,少年兵,早熟 / 未被磨平,假装不疼,未成型骨架 + 大一号装备,镇墟司/战士团
AT15,归乡者,放下 / 执念,回来了，但地方变了,旧衣新补 + 停顿的站姿,灰区/隐世
