ability_id,机制,来源,媒介,接触方式,结果,一句话
AB0001,位置改变,契约,血,范围笼罩,交换位置,以契约为源、血为媒介：位置改变；范围笼罩 → 交换位置
AB0002,嵌套,血脉,雾,范围笼罩,吸收结构,以血脉为源、雾为媒介：嵌套；范围笼罩 → 吸收结构
AB0003,伪装,契约,纹,接触命中,交换位置,以契约为源、纹为媒介：伪装；接触命中 → 交换位置
AB0004,折叠,异化,气,视线锁定,交换位置,以异化为源、气为媒介：折叠；视线锁定 → 交换位置
AB0005,复制,功法,尘,范围笼罩,交换位置,以功法为源、尘为媒介：复制；范围笼罩 → 交换位置
AB0006,寄生,血脉,光,地面蔓延,剥夺行动,以血脉为源、光为媒介：寄生；地面蔓延 → 剥夺行动
AB0007,吞噬,残缺体质,雾,接触命中,吸收结构,以残缺体质为源、雾为媒介：吞噬；接触命中 → 吸收结构
AB0008,削弱,功法,气,地面蔓延,吸收结构,以功法为源、气为媒介：削弱；地面蔓延 → 吸收结构
AB0009,复制,器物,血,视线锁定,复制信息,以器物为源、血为媒介：复制；视线锁定 → 复制信息
AB0010,回响,契约,纹,地面蔓延,制造错误感知,以契约为源、纹为媒介：回响；地面蔓延 → 制造错误感知
AB0011,锚定,共鸣,影,视线锁定,交换位置,以共鸣为源、影为媒介：锚定；视线锁定 → 交换位置
AB0012,折叠,功法,血,接触命中,标记目标,以功法为源、血为媒介：折叠；接触命中 → 标记目标
AB0013,强化,天授,雷,地面蔓延,改变因果顺序,以天授为源、雷为媒介：强化；地面蔓延 → 改变因果顺序
AB0014,吞噬,异化,尘,视线锁定,造成位移,以异化为源、尘为媒介：吞噬；视线锁定 → 造成位移
AB0015,记录,残缺体质,影,范围笼罩,标记目标,以残缺体质为源、影为媒介：记录；范围笼罩 → 标记目标
AB0016,回溯,契约,雾,视线锁定,改变因果顺序,以契约为源、雾为媒介：回溯；视线锁定 → 改变因果顺序
AB0017,转移,功法,声,媒介传导,吸收结构,以功法为源、声为媒介：转移；媒介传导 → 吸收结构
AB0018,锚定,异化,气,接触命中,剥夺行动,以异化为源、气为媒介：锚定；接触命中 → 剥夺行动
AB0019,加速,共鸣,光,地面蔓延,吸收结构,以共鸣为源、光为媒介：加速；地面蔓延 → 吸收结构
AB0020,强化,契约,气,地面蔓延,剥夺行动,以契约为源、气为媒介：强化；地面蔓延 → 剥夺行动
AB0021,回响,残缺体质,尘,视线锁定,复制信息,以残缺体质为源、尘为媒介：回响；视线锁定 → 复制信息
AB0022,伪装,异化,声,媒介传导,改变身体规则,以异化为源、声为媒介：伪装；媒介传导 → 改变身体规则
AB0023,折叠,残缺体质,光,视线锁定,吸收结构,以残缺体质为源、光为媒介：折叠；视线锁定 → 吸收结构
AB0024,重构,天授,影,接触命中,复制信息,以天授为源、影为媒介：重构；接触命中 → 复制信息
AB0025,延迟,共鸣,雾,视线锁定,交换位置,以共鸣为源、雾为媒介：延迟；视线锁定 → 交换位置
AB0026,延迟,天授,声,媒介传导,限制变化,以天授为源、声为媒介：延迟；媒介传导 → 限制变化
AB0027,回溯,器物,雾,媒介传导,吸收结构,以器物为源、雾为媒介：回溯；媒介传导 → 吸收结构
AB0028,锚定,异化,纹,视线锁定,限制变化,以异化为源、纹为媒介：锚定；视线锁定 → 限制变化
AB0029,折叠,共鸣,雾,范围笼罩,制造错误感知,以共鸣为源、雾为媒介：折叠；范围笼罩 → 制造错误感知
AB0030,回溯,残缺体质,声,视线锁定,限制变化,以残缺体质为源、声为媒介：回溯；视线锁定 → 限制变化
AB0031,削弱,器物,光,媒介传导,复制信息,以器物为源、光为媒介：削弱；媒介传导 → 复制信息
AB0032,吞噬,天授,雾,接触命中,改变因果顺序,以天授为源、雾为媒介：吞噬；接触命中 → 改变因果顺序
AB0033,回响,天授,光,地面蔓延,吸收结构,以天授为源、光为媒介：回响；地面蔓延 → 吸收结构
AB0034,回溯,器物,声,范围笼罩,制造错误感知,以器物为源、声为媒介：回溯；范围笼罩 → 制造错误感知
AB0035,延迟,契约,血,接触命中,交换位置,以契约为源、血为媒介：延迟；接触命中 → 交换位置
AB0036,方向改变,异化,雾,范围笼罩,造成位移,以异化为源、雾为媒介：方向改变；范围笼罩 → 造成位移
AB0037,剥离,天授,光,接触命中,标记目标,以天授为源、光为媒介：剥离；接触命中 → 标记目标
AB0038,空间连接,共鸣,气,接触命中,标记目标,以共鸣为源、气为媒介：空间连接；接触命中 → 标记目标
AB0039,共振,血脉,气,地面蔓延,改变因果顺序,以血脉为源、气为媒介：共振；地面蔓延 → 改变因果顺序
AB0040,延迟,契约,血,媒介传导,标记目标,以契约为源、血为媒介：延迟；媒介传导 → 标记目标
AB0041,回响,血脉,雷,范围笼罩,复制信息,以血脉为源、雷为媒介：回响；范围笼罩 → 复制信息
AB0042,折叠,异化,雷,范围笼罩,交换位置,以异化为源、雷为媒介：折叠；范围笼罩 → 交换位置
AB0043,空间连接,器物,纹,范围笼罩,限制变化,以器物为源、纹为媒介：空间连接；范围笼罩 → 限制变化
AB0044,延迟,共鸣,影,范围笼罩,交换位置,以共鸣为源、影为媒介：延迟；范围笼罩 → 交换位置
AB0045,记录,功法,气,媒介传导,吸收结构,以功法为源、气为媒介：记录；媒介传导 → 吸收结构
AB0046,分解,残缺体质,纹,地面蔓延,交换位置,以残缺体质为源、纹为媒介：分解；地面蔓延 → 交换位置
AB0047,冻结,契约,尘,范围笼罩,限制变化,以契约为源、尘为媒介：冻结；范围笼罩 → 限制变化
AB0048,伪装,血脉,血,地面蔓延,复制信息,以血脉为源、血为媒介：伪装；地面蔓延 → 复制信息
AB0049,错位,血脉,声,地面蔓延,剥夺行动,以血脉为源、声为媒介：错位；地面蔓延 → 剥夺行动
AB0050,折叠,残缺体质,纹,接触命中,限制变化,以残缺体质为源、纹为媒介：折叠；接触命中 → 限制变化
AB0051,转移,残缺体质,血,接触命中,改变因果顺序,以残缺体质为源、血为媒介：转移；接触命中 → 改变因果顺序
AB0052,伪装,天授,纹,视线锁定,改变身体规则,以天授为源、纹为媒介：伪装；视线锁定 → 改变身体规则
AB0053,标记,异化,尘,范围笼罩,改变因果顺序,以异化为源、尘为媒介：标记；范围笼罩 → 改变因果顺序
AB0054,折叠,功法,纹,范围笼罩,造成位移,以功法为源、纹为媒介：折叠；范围笼罩 → 造成位移
AB0055,分解,残缺体质,纹,范围笼罩,改变身体规则,以残缺体质为源、纹为媒介：分解；范围笼罩 → 改变身体规则
AB0056,错位,器物,气,媒介传导,改变因果顺序,以器物为源、气为媒介：错位；媒介传导 → 改变因果顺序
AB0057,错位,共鸣,光,媒介传导,限制变化,以共鸣为源、光为媒介：错位；媒介传导 → 限制变化
AB0058,寄生,残缺体质,影,地面蔓延,改变身体规则,以残缺体质为源、影为媒介：寄生；地面蔓延 → 改变身体规则
AB0059,错位,器物,声,接触命中,制造错误感知,以器物为源、声为媒介：错位；接触命中 → 制造错误感知
AB0060,延迟,血脉,气,视线锁定,制造错误感知,以血脉为源、气为媒介：延迟；视线锁定 → 制造错误感知
AB0061,转移,契约,光,地面蔓延,标记目标,以契约为源、光为媒介：转移；地面蔓延 → 标记目标
AB0062,状态交换,共鸣,血,接触命中,造成位移,以共鸣为源、血为媒介：状态交换；接触命中 → 造成位移
AB0063,复制,契约,雷,地面蔓延,制造错误感知,以契约为源、雷为媒介：复制；地面蔓延 → 制造错误感知
AB0064,重构,残缺体质,声,地面蔓延,制造错误感知,以残缺体质为源、声为媒介：重构；地面蔓延 → 制造错误感知
AB0065,加速,残缺体质,雾,接触命中,复制信息,以残缺体质为源、雾为媒介：加速；接触命中 → 复制信息
AB0066,剥离,残缺体质,尘,范围笼罩,交换位置,以残缺体质为源、尘为媒介：剥离；范围笼罩 → 交换位置
AB0067,共振,异化,雷,范围笼罩,改变因果顺序,以异化为源、雷为媒介：共振；范围笼罩 → 改变因果顺序
AB0068,位置改变,残缺体质,丝,视线锁定,造成位移,以残缺体质为源、丝为媒介：位置改变；视线锁定 → 造成位移
AB0069,标记,血脉,血,范围笼罩,吸收结构,以血脉为源、血为媒介：标记；范围笼罩 → 吸收结构
AB0070,嵌套,血脉,血,视线锁定,交换位置,以血脉为源、血为媒介：嵌套；视线锁定 → 交换位置
AB0071,吞噬,共鸣,气,接触命中,交换位置,以共鸣为源、气为媒介：吞噬；接触命中 → 交换位置
AB0072,折叠,血脉,光,视线锁定,剥夺行动,以血脉为源、光为媒介：折叠；视线锁定 → 剥夺行动
AB0073,共振,残缺体质,雷,范围笼罩,交换位置,以残缺体质为源、雷为媒介：共振；范围笼罩 → 交换位置
AB0074,记录,共鸣,雷,媒介传导,剥夺行动,以共鸣为源、雷为媒介：记录；媒介传导 → 剥夺行动
AB0075,回响,血脉,影,视线锁定,改变身体规则,以血脉为源、影为媒介：回响；视线锁定 → 改变身体规则
AB0076,冻结,器物,气,范围笼罩,剥夺行动,以器物为源、气为媒介：冻结；范围笼罩 → 剥夺行动
AB0077,冻结,共鸣,气,地面蔓延,交换位置,以共鸣为源、气为媒介：冻结；地面蔓延 → 交换位置
AB0078,寄生,契约,丝,媒介传导,复制信息,以契约为源、丝为媒介：寄生；媒介传导 → 复制信息
AB0079,位置改变,天授,雷,地面蔓延,吸收结构,以天授为源、雷为媒介：位置改变；地面蔓延 → 吸收结构
AB0080,伪装,异化,声,地面蔓延,改变因果顺序,以异化为源、声为媒介：伪装；地面蔓延 → 改变因果顺序
AB0081,吞噬,契约,光,视线锁定,改变因果顺序,以契约为源、光为媒介：吞噬；视线锁定 → 改变因果顺序
AB0082,共振,契约,尘,接触命中,标记目标,以契约为源、尘为媒介：共振；接触命中 → 标记目标
AB0083,折叠,器物,影,范围笼罩,改变身体规则,以器物为源、影为媒介：折叠；范围笼罩 → 改变身体规则
AB0084,共振,共鸣,尘,范围笼罩,交换位置,以共鸣为源、尘为媒介：共振；范围笼罩 → 交换位置
AB0085,吞噬,契约,影,范围笼罩,制造错误感知,以契约为源、影为媒介：吞噬；范围笼罩 → 制造错误感知
AB0086,重构,功法,影,视线锁定,改变身体规则,以功法为源、影为媒介：重构；视线锁定 → 改变身体规则
AB0087,方向改变,异化,丝,接触命中,剥夺行动,以异化为源、丝为媒介：方向改变；接触命中 → 剥夺行动
AB0088,方向改变,血脉,尘,媒介传导,制造错误感知,以血脉为源、尘为媒介：方向改变；媒介传导 → 制造错误感知
AB0089,锚定,功法,纹,范围笼罩,剥夺行动,以功法为源、纹为媒介：锚定；范围笼罩 → 剥夺行动
AB0090,寄生,残缺体质,丝,范围笼罩,制造错误感知,以残缺体质为源、丝为媒介：寄生；范围笼罩 → 制造错误感知
AB0091,标记,天授,雾,视线锁定,造成位移,以天授为源、雾为媒介：标记；视线锁定 → 造成位移
AB0092,剥离,血脉,声,接触命中,吸收结构,以血脉为源、声为媒介：剥离；接触命中 → 吸收结构
AB0093,标记,天授,气,地面蔓延,制造错误感知,以天授为源、气为媒介：标记；地面蔓延 → 制造错误感知
AB0094,回溯,共鸣,尘,视线锁定,造成位移,以共鸣为源、尘为媒介：回溯；视线锁定 → 造成位移
AB0095,复制,残缺体质,雷,地面蔓延,限制变化,以残缺体质为源、雷为媒介：复制；地面蔓延 → 限制变化
AB0096,记录,共鸣,气,范围笼罩,交换位置,以共鸣为源、气为媒介：记录；范围笼罩 → 交换位置
AB0097,折叠,器物,光,媒介传导,标记目标,以器物为源、光为媒介：折叠；媒介传导 → 标记目标
AB0098,加速,共鸣,雷,媒介传导,剥夺行动,以共鸣为源、雷为媒介：加速；媒介传导 → 剥夺行动
AB0099,转移,天授,光,接触命中,交换位置,以天授为源、光为媒介：转移；接触命中 → 交换位置
AB0100,标记,功法,血,视线锁定,交换位置,以功法为源、血为媒介：标记；视线锁定 → 交换位置
AB0101,位置改变,异化,血,范围笼罩,改变因果顺序,以异化为源、血为媒介：位置改变；范围笼罩 → 改变因果顺序
AB0102,转移,天授,气,地面蔓延,标记目标,以天授为源、气为媒介：转移；地面蔓延 → 标记目标
AB0103,状态交换,契约,血,地面蔓延,制造错误感知,以契约为源、血为媒介：状态交换；地面蔓延 → 制造错误感知
AB0104,位置改变,天授,纹,媒介传导,剥夺行动,以天授为源、纹为媒介：位置改变；媒介传导 → 剥夺行动
AB0105,嵌套,异化,雾,接触命中,标记目标,以异化为源、雾为媒介：嵌套；接触命中 → 标记目标
AB0106,嵌套,天授,影,媒介传导,改变因果顺序,以天授为源、影为媒介：嵌套；媒介传导 → 改变因果顺序
