costume_id,阵营,剪影,结构要素,配饰,状态,描述
CS00001,王庭,重甲,背部长摆,令牌+断扣,战损修补,王庭·重甲｜背部长摆｜令牌+断扣｜战损修补
CS00002,学宫,腰封,分片下摆,令牌+药囊,战损修补,学宫·腰封｜分片下摆｜令牌+药囊｜战损修补
CS00003,灰区,轻甲,交领叠襟,颈饰+符囊,完整如新,灰区·轻甲｜交领叠襟｜颈饰+符囊｜完整如新
CS00004,战士团,非对称剪裁,高领护颈,颈饰+腰牌,战损修补,战士团·非对称剪裁｜高领护颈｜颈饰+腰牌｜战损修补
CS00005,游侠,半甲,高领护颈,额饰+护腕,身份剥除感,游侠·半甲｜高领护颈｜额饰+护腕｜身份剥除感
CS00006,战士团,腰封,交领叠襟,额饰+令牌,陈年旧物,战士团·腰封｜交领叠襟｜额饰+令牌｜陈年旧物
CS00007,游侠,束身,绑带束腰,臂环+断扣,身份剥除感,游侠·束身｜绑带束腰｜臂环+断扣｜身份剥除感
CS00008,镇墟司,护臂,肩甲结构,符囊+旧皮带,陈年旧物,镇墟司·护臂｜肩甲结构｜符囊+旧皮带｜陈年旧物
CS00009,医者,轻甲,背部长摆,腰牌+断扣,陈年旧物,医者·轻甲｜背部长摆｜腰牌+断扣｜陈年旧物
CS00010,游侠,护臂,分片下摆,药囊+符囊,当下战损,游侠·护臂｜分片下摆｜药囊+符囊｜当下战损
CS00011,恶灵,束身,暗袋夹层,颈饰+臂环,当下战损,恶灵·束身｜暗袋夹层｜颈饰+臂环｜当下战损
CS00012,灰区,腰封,肩甲结构,断扣+耳饰,身份剥除感,灰区·腰封｜肩甲结构｜断扣+耳饰｜身份剥除感
CS00013,复苏体,半甲,分片下摆,令牌+护腕,边境磨损,复苏体·半甲｜分片下摆｜令牌+护腕｜边境磨损
CS00014,贵族,披风,分片下摆,臂环+面具残片,完整如新,贵族·披风｜分片下摆｜臂环+面具残片｜完整如新
CS00015,商贾,长袍,绑带束腰,断扣+护腕,当下战损,商贾·长袍｜绑带束腰｜断扣+护腕｜当下战损
CS00016,王庭,多层衣摆,背部长摆,旧皮带+断扣,身份剥除感,王庭·多层衣摆｜背部长摆｜旧皮带+断扣｜身份剥除感
CS00017,医者,披风,背部长摆,额饰+旧皮带,完整如新,医者·披风｜背部长摆｜额饰+旧皮带｜完整如新
CS00018,贵族,多层衣摆,背部长摆,符囊+护腕,当下战损,贵族·多层衣摆｜背部长摆｜符囊+护腕｜当下战损
CS00019,商贾,长袍,外披短褂,臂环+面具残片,完整如新,商贾·长袍｜外披短褂｜臂环+面具残片｜完整如新
CS00020,学宫,宽袖,腿部绑甲,令牌+药囊,身份剥除感,学宫·宽袖｜腿部绑甲｜令牌+药囊｜身份剥除感
CS00021,恶灵,护臂,腿部绑甲,耳饰+颈饰,战损修补,恶灵·护臂｜腿部绑甲｜耳饰+颈饰｜战损修补
CS00022,游侠,护臂,腿部绑甲,令牌+符囊,完整如新,游侠·护臂｜腿部绑甲｜令牌+符囊｜完整如新
CS00023,游侠,轻甲,高领护颈,护腕+耳饰,完整如新,游侠·轻甲｜高领护颈｜护腕+耳饰｜完整如新
CS00024,灰区,长袍,分片下摆,颈饰+令牌,陈年旧物,灰区·长袍｜分片下摆｜颈饰+令牌｜陈年旧物
CS00025,隐世,腰封,肩甲结构,药囊+旧皮带,陈年旧物,隐世·腰封｜肩甲结构｜药囊+旧皮带｜陈年旧物
CS00026,恶灵,重甲,分片下摆,令牌+符囊,当下战损,恶灵·重甲｜分片下摆｜令牌+符囊｜当下战损
CS00027,医者,非对称剪裁,高领护颈,断扣+颈饰,当下战损,医者·非对称剪裁｜高领护颈｜断扣+颈饰｜当下战损
CS00028,镇墟司,宽袖,绑带束腰,臂环+额饰,完整如新,镇墟司·宽袖｜绑带束腰｜臂环+额饰｜完整如新
CS00029,隐世,短衣,腿部绑甲,颈饰+臂环,战损修补,隐世·短衣｜腿部绑甲｜颈饰+臂环｜战损修补
CS00030,隐世,宽袖,分片下摆,令牌+药囊,身份剥除感,隐世·宽袖｜分片下摆｜令牌+药囊｜身份剥除感
