weapon_id,类型,机制,材质,形态,描述
WP0001,幡,收纳空间,晶体,可伸缩,晶体幡·可伸缩；机制：收纳空间
WP0002,笔,铭文启动,寒铁合金,短柄,寒铁合金笔·短柄；机制：铭文启动
WP0003,针,结印增幅,木,可伸缩,木针·可伸缩；机制：结印增幅
WP0004,鞭,收纳空间,木,藏于袖,木鞭·藏于袖；机制：收纳空间
WP0005,钩,吸取记忆,金,可伸缩,金钩·可伸缩；机制：吸取记忆
WP0006,爪,消耗寿命,木,可伸缩,木爪·可伸缩；机制：消耗寿命
WP0007,盾,共鸣震动,玄钢,长柄,玄钢盾·长柄；机制：共鸣震动
WP0008,杖,锁链牵引,青铜,双持,青铜杖·双持；机制：锁链牵引
WP0009,戟,共鸣震动,黑铁,双持,黑铁戟·双持；机制：共鸣震动
WP0010,棍,镜像复制,金,长柄,金棍·长柄；机制：镜像复制
WP0011,弓,消耗寿命,木,无柄悬浮,木弓·无柄悬浮；机制：消耗寿命
WP0012,钟,折叠变形,青铜,缠于手臂,青铜钟·缠于手臂；机制：折叠变形
WP0013,符,以气御使,金,双持,金符·双持；机制：以气御使
WP0014,棍,结印增幅,晶体,长柄,晶体棍·长柄；机制：结印增幅
WP0015,棍,共鸣震动,晶体,可伸缩,晶体棍·可伸缩；机制：共鸣震动
WP0016,单手剑,刀刃自愈,银,可伸缩,银单手剑·可伸缩；机制：刀刃自愈
WP0017,幡,折叠变形,黑铁,缠于手臂,黑铁幡·缠于手臂；机制：折叠变形
WP0018,短刀,重量变化,骨,背负式,骨短刀·背负式；机制：重量变化
WP0019,钟,锁链牵引,金,双持,金钟·双持；机制：锁链牵引
WP0020,弩,折叠变形,晶体,双持,晶体弩·双持；机制：折叠变形
WP0021,印,分体飞击,晶体,缠于手臂,晶体印·缠于手臂；机制：分体飞击
WP0022,钟,折叠变形,晶体,短柄,晶体钟·短柄；机制：折叠变形
WP0023,扇,重量变化,黑铁,无柄悬浮,黑铁扇·无柄悬浮；机制：重量变化
WP0024,笛,共鸣震动,木,长柄,木笛·长柄；机制：共鸣震动
WP0025,幡,共鸣震动,金,双持,金幡·双持；机制：共鸣震动
WP0026,鞭,以气御使,晶体,藏于袖,晶体鞭·藏于袖；机制：以气御使
WP0027,钩,共鸣震动,骨,双持,骨钩·双持；机制：共鸣震动
WP0028,幡,以气御使,玉,长柄,玉幡·长柄；机制：以气御使
WP0029,符,消耗寿命,寒铁合金,缠于手臂,寒铁合金符·缠于手臂；机制：消耗寿命
WP0030,幡,折叠变形,木,短柄,木幡·短柄；机制：折叠变形
WP0031,长刀,刀刃自愈,骨,短柄,骨长刀·短柄；机制：刀刃自愈
WP0032,弩,吸取记忆,玄钢,双持,玄钢弩·双持；机制：吸取记忆
WP0033,枪,折叠变形,骨,藏于袖,骨枪·藏于袖；机制：折叠变形
WP0034,棍,镜像复制,银,藏于袖,银棍·藏于袖；机制：镜像复制
WP0035,笔,共鸣震动,木,背负式,木笔·背负式；机制：共鸣震动
WP0036,钩,结印增幅,金,缠于手臂,金钩·缠于手臂；机制：结印增幅
WP0037,枪,镜像复制,金,缠于手臂,金枪·缠于手臂；机制：镜像复制
WP0038,棍,收纳空间,青铜,缠于手臂,青铜棍·缠于手臂；机制：收纳空间
WP0039,拳套,共鸣震动,骨,缠于手臂,骨拳套·缠于手臂；机制：共鸣震动
WP0040,戟,吸取记忆,晶体,无柄悬浮,晶体戟·无柄悬浮；机制：吸取记忆
WP0041,鞭,共鸣震动,青铜,长柄,青铜鞭·长柄；机制：共鸣震动
WP0042,锤,共鸣震动,黑铁,可伸缩,黑铁锤·可伸缩；机制：共鸣震动
WP0043,笛,折叠变形,晶体,长柄,晶体笛·长柄；机制：折叠变形
WP0044,伞,分体飞击,黑铁,可伸缩,黑铁伞·可伸缩；机制：分体飞击
WP0045,伞,分体飞击,木,短柄,木伞·短柄；机制：分体飞击
WP0046,戟,收纳空间,木,短柄,木戟·短柄；机制：收纳空间
WP0047,印,锁链牵引,骨,双持,骨印·双持；机制：锁链牵引
WP0048,戟,折叠变形,银,可伸缩,银戟·可伸缩；机制：折叠变形
WP0049,弩,吸血反哺,寒铁合金,藏于袖,寒铁合金弩·藏于袖；机制：吸血反哺
WP0050,钩,刀刃自愈,青铜,藏于袖,青铜钩·藏于袖；机制：刀刃自愈
WP0051,弓,吸血反哺,玄钢,藏于袖,玄钢弓·藏于袖；机制：吸血反哺
WP0052,双手巨剑,铭文启动,黑铁,双持,黑铁双手巨剑·双持；机制：铭文启动
WP0053,扇,刀刃自愈,骨,可伸缩,骨扇·可伸缩；机制：刀刃自愈
WP0054,钟,镜像复制,青铜,双持,青铜钟·双持；机制：镜像复制
WP0055,链,共鸣震动,青铜,缠于手臂,青铜链·缠于手臂；机制：共鸣震动
WP0056,盾,消耗寿命,玉,短柄,玉盾·短柄；机制：消耗寿命
WP0057,符,吸血反哺,黑铁,短柄,黑铁符·短柄；机制：吸血反哺
WP0058,盾,分体飞击,青铜,可伸缩,青铜盾·可伸缩；机制：分体飞击
WP0059,幡,折叠变形,骨,可伸缩,骨幡·可伸缩；机制：折叠变形
WP0060,弩,结印增幅,寒铁合金,无柄悬浮,寒铁合金弩·无柄悬浮；机制：结印增幅
WP0061,杖,镜像复制,骨,无柄悬浮,骨杖·无柄悬浮；机制：镜像复制
WP0062,软剑,铭文启动,晶体,无柄悬浮,晶体软剑·无柄悬浮；机制：铭文启动
WP0063,单手剑,折叠变形,玄钢,藏于袖,玄钢单手剑·藏于袖；机制：折叠变形
WP0064,钟,以气御使,玄钢,藏于袖,玄钢钟·藏于袖；机制：以气御使
WP0065,伞,消耗寿命,木,藏于袖,木伞·藏于袖；机制：消耗寿命
WP0066,盾,收纳空间,晶体,双持,晶体盾·双持；机制：收纳空间
WP0067,伞,断节重组,青铜,双持,青铜伞·双持；机制：断节重组
WP0068,镰,断节重组,玉,藏于袖,玉镰·藏于袖；机制：断节重组
WP0069,笔,折叠变形,晶体,双持,晶体笔·双持；机制：折叠变形
WP0070,长刀,消耗寿命,玉,背负式,玉长刀·背负式；机制：消耗寿命
WP0071,盾,镜像复制,玉,双持,玉盾·双持；机制：镜像复制
WP0072,短刀,断节重组,晶体,背负式,晶体短刀·背负式；机制：断节重组
WP0073,枪,重量变化,黑铁,可伸缩,黑铁枪·可伸缩；机制：重量变化
WP0074,伞,吸取记忆,木,藏于袖,木伞·藏于袖；机制：吸取记忆
WP0075,盾,收纳空间,黑铁,背负式,黑铁盾·背负式；机制：收纳空间
WP0076,针,分体飞击,玉,可伸缩,玉针·可伸缩；机制：分体飞击
WP0077,鞭,刀刃自愈,黑铁,长柄,黑铁鞭·长柄；机制：刀刃自愈
WP0078,伞,共鸣震动,黑铁,无柄悬浮,黑铁伞·无柄悬浮；机制：共鸣震动
WP0079,短刀,锁链牵引,木,无柄悬浮,木短刀·无柄悬浮；机制：锁链牵引
WP0080,镰,吸取记忆,木,双持,木镰·双持；机制：吸取记忆
WP0081,针,共鸣震动,玄钢,短柄,玄钢针·短柄；机制：共鸣震动
WP0082,弩,重量变化,青铜,双持,青铜弩·双持；机制：重量变化
WP0083,长刀,结印增幅,青铜,藏于袖,青铜长刀·藏于袖；机制：结印增幅
WP0084,弩,结印增幅,玉,双持,玉弩·双持；机制：结印增幅
