domain_id,类型,名称,触发,范围,规则,限制,优势,代价,破坏方式
DM0001,生命领域,生命·以血为引,以血为引,视线之内,某种力消失,施术者不能移动,团队增益,记忆,破坏触发条件
DM0002,时间领域,时间·以血为引,以血为引,百步方圆,某种力消失,需持续消耗,地形绝对化,感官,同时攻击内外两侧
DM0003,声音领域,声音·受创反启,受创反启,视线之内,位置可被抵押,施术者不能移动,抢先手,记忆,同时攻击内外两侧
DM0004,感知领域,感知·咏唱三息,咏唱三息,一条战线,影与本体互换,对同一目标只生效一次,团队增益,体温,让施术者说出真名
DM0005,感知领域,感知·画地为界,画地为界,自身为心,位置可被抵押,需持续消耗,抢先手,寿命,破坏触发条件
DM0006,空间领域,空间·受创反启,受创反启,自身为心,结果可被替换,破界即反噬,团队增益,寿命,破坏触发条件
DM0007,生命领域,生命·受创反启,受创反启,一整个房间,结果可被替换,每次不超过三息,地形绝对化,身份痕迹,用同源规则对冲
DM0008,影之领域,影之·睁眼即启,睁眼即启,视线之内,语言即成真,破界即反噬,制造不可预测,身份痕迹,破坏触发条件
DM0009,声音领域,声音·咏唱三息,咏唱三息,一条战线,语言即成真,破界即反噬,封锁退路,感官,破坏触发条件
DM0010,因果领域,因果·受创反启,受创反启,半径三步,结果可被替换,每次不超过三息,封锁退路,感官,同时攻击内外两侧
DM0011,声音领域,声音·咏唱三息,咏唱三息,百步方圆,重量可被赋予,范围内自己同样受限,抢先手,血液,破坏触发条件
DM0012,感知领域,感知·静立不动,静立不动,百步方圆,距离被改写,对同一目标只生效一次,地形绝对化,血液,同时攻击内外两侧
DM0013,材料领域,材料·以血为引,以血为引,自身为心,语言即成真,需持续消耗,地形绝对化,记忆,同时攻击内外两侧
DM0014,感知领域,感知·击掌触发,击掌触发,自身为心,距离被改写,需持续消耗,封锁退路,感官,破坏触发条件
DM0015,感知领域,感知·吞下媒介,吞下媒介,半径三步,重量可被赋予,施术者不能移动,制造不可预测,感官,同时攻击内外两侧
DM0016,生命领域,生命·静立不动,静立不动,一条战线,影与本体互换,破界即反噬,地形绝对化,身份痕迹,击碎中心锚点
DM0017,空间领域,空间·受创反启,受创反启,视线之内,进入者被记录,对同一目标只生效一次,制造不可预测,身份痕迹,让施术者说出真名
DM0018,影之领域,影之·受创反启,受创反启,一整个房间,速度分层,每次不超过三息,团队增益,寿命,用同源规则对冲
DM0019,生命领域,生命·受创反启,受创反启,一整个房间,距离被改写,施术者不能移动,封锁退路,记忆,击碎中心锚点
DM0020,概念领域,概念·咏唱三息,咏唱三息,一整个房间,某种力消失,范围内自己同样受限,团队增益,感官,让施术者说出真名
DM0021,影之领域,影之·吞下媒介,吞下媒介,百步方圆,位置可被抵押,对同一目标只生效一次,制造不可预测,体温,破坏触发条件
DM0022,温度领域,温度·受创反启,受创反启,视线之内,重量可被赋予,每次不超过三息,制造不可预测,寿命,让施术者说出真名
DM0023,生命领域,生命·受创反启,受创反启,百步方圆,速度分层,每次不超过三息,抢先手,血液,破坏触发条件
DM0024,概念领域,概念·吞下媒介,吞下媒介,一条战线,距离被改写,破界即反噬,抢先手,记忆,用同源规则对冲
DM0025,声音领域,声音·睁眼即启,睁眼即启,百步方圆,结果可被替换,需持续消耗,制造不可预测,血液,用同源规则对冲
DM0026,温度领域,温度·静立不动,静立不动,半径三步,某种力消失,需持续消耗,制造不可预测,记忆,破坏触发条件
