body_id,性别,体型,比例,肌肉型,站姿,描述
BD0001,男,均衡型,6.5头身,非战斗肌,重心前倾,男性·均衡型 / 6.5头身 / 非战斗肌 / 重心前倾
BD0002,女,异族型,7.5头身,低脂清晰,抱臂而立,女性·异族型 / 7.5头身 / 低脂清晰 / 抱臂而立
BD0003,女,修长型,8.5头身,厚实沉稳,重心后坐,女性·修长型 / 8.5头身 / 厚实沉稳 / 重心后坐
BD0004,男,隐修型,8头身,中等紧实,放松垂手,男性·隐修型 / 8头身 / 中等紧实 / 放松垂手
BD0005,女,异族型,8头身,厚实沉稳,抱臂而立,女性·异族型 / 8头身 / 厚实沉稳 / 抱臂而立
BD0006,女,精悍型,8头身,中等紧实,侧身戒备,女性·精悍型 / 8头身 / 中等紧实 / 侧身戒备
BD0007,女,修长型,6.5头身,中等紧实,手扶武器,女性·修长型 / 6.5头身 / 中等紧实 / 手扶武器
BD0008,男,智者型,6.5头身,中等紧实,重心后坐,男性·智者型 / 6.5头身 / 中等紧实 / 重心后坐
BD0009,女,修长型,7头身,低脂清晰,放松垂手,女性·修长型 / 7头身 / 低脂清晰 / 放松垂手
BD0010,女,温和型,8头身,饱满力量,侧身戒备,女性·温和型 / 8头身 / 饱满力量 / 侧身戒备
BD0011,男,剑士型,7头身,非战斗肌,侧身戒备,男性·剑士型 / 7头身 / 非战斗肌 / 侧身戒备
BD0012,男,刺客型,8头身,病弱纤薄,微微下沉,男性·刺客型 / 8头身 / 病弱纤薄 / 微微下沉
BD0013,男,重装型,8.5头身,饱满力量,重心后坐,男性·重装型 / 8.5头身 / 饱满力量 / 重心后坐
BD0014,男,剑士型,7头身,中等紧实,放松垂手,男性·剑士型 / 7头身 / 中等紧实 / 放松垂手
BD0015,男,隐修型,7头身,饱满力量,抱臂而立,男性·隐修型 / 7头身 / 饱满力量 / 抱臂而立
BD0016,男,隐修型,6.5头身,厚实沉稳,重心前倾,男性·隐修型 / 6.5头身 / 厚实沉稳 / 重心前倾
BD0017,男,游侠型,8.5头身,精瘦紧致,重心前倾,男性·游侠型 / 8.5头身 / 精瘦紧致 / 重心前倾
BD0018,男,刺客型,8.5头身,饱满力量,放松垂手,男性·刺客型 / 8.5头身 / 饱满力量 / 放松垂手
BD0019,男,刺客型,7.5头身,非战斗肌,放松垂手,男性·刺客型 / 7.5头身 / 非战斗肌 / 放松垂手
BD0020,女,精悍型,8.5头身,非战斗肌,自然站姿,女性·精悍型 / 8.5头身 / 非战斗肌 / 自然站姿
BD0021,男,隐修型,6.5头身,少年未成型,放松垂手,男性·隐修型 / 6.5头身 / 少年未成型 / 放松垂手
BD0022,女,灵巧型,8头身,少年未成型,放松垂手,女性·灵巧型 / 8头身 / 少年未成型 / 放松垂手
BD0023,女,灵巧型,7.5头身,中等紧实,重心后坐,女性·灵巧型 / 7.5头身 / 中等紧实 / 重心后坐
BD0024,女,战斗型,6.5头身,中等紧实,抱臂而立,女性·战斗型 / 6.5头身 / 中等紧实 / 抱臂而立
