face_id,主脸型,辅变化,额头,眉骨,眼窝,颧骨,面颊,下颌,眼型,眼尾,眼距,虹膜,鼻根,鼻梁,鼻头,唇型,嘴角,特殊标志,一句话脸
FD00001,幼态方脸,下庭收窄,低额,厚眉骨,眼下饱满,宽颧骨,轻凹面颊,骨感下颌,平直杏眼,眼尾微挑,宽眼距,灰蓝瞳,中高鼻根,宽骨鼻梁,下压鼻头,成熟长唇,嘴角下垂,单侧酒窝,幼态方脸（下庭收窄），厚眉骨/眼下饱满，平直杏眼·眼尾微挑·宽眼距，中高鼻根/宽骨鼻梁/下压鼻头，成熟长唇·嘴角下垂，骨感下颌
FD00002,宽菱形,骨点外显,宽额,外侧突出眉骨,深眼窝,低颧骨,轻凹面颊,明显下颌角,瑞凤眼,眼尾下压,窄眼距,星点虹膜,低鼻根,宽骨鼻梁,窄翼鼻头,宽嘴,嘴角下垂,无标志,宽菱形（骨点外显），外侧突出眉骨/深眼窝，瑞凤眼·眼尾下压·窄眼距，低鼻根/宽骨鼻梁/窄翼鼻头，宽嘴·嘴角下垂，明显下颌角
FD00003,上窄下宽脸,颈部线条延长,饱满额,压迫感眉骨,浅眼窝,低颧骨,成熟收紧面颊,窄下颌,少年圆眼,眼尾平直,宽眼距,星点虹膜,低鼻根,柔和鼻梁,肉感鼻头,薄唇,单侧上扬,下颌浅疤,上窄下宽脸（颈部线条延长），压迫感眉骨/浅眼窝，少年圆眼·眼尾平直·宽眼距，低鼻根/柔和鼻梁/肉感鼻头，薄唇·单侧上扬，窄下颌
FD00004,宽心形脸,骨点外显,窄额,薄眉骨,宽浅眼窝,高颧骨,成熟收紧面颊,圆方下颌,猫系眼,眼尾平直,宽眼距,灰蓝瞳,中高鼻根,宽骨鼻梁,肉感鼻头,宽嘴,嘴角平直,无标志,宽心形脸（骨点外显），薄眉骨/宽浅眼窝，猫系眼·眼尾平直·宽眼距，中高鼻根/宽骨鼻梁/肉感鼻头，宽嘴·嘴角平直，圆方下颌
FD00005,长菱形,中庭拉长,平直额,低眉骨,眼下饱满,窄颧骨,幼态柔软面颊,收敛下颌,短圆杏眼,眼尾平直,标准眼距,灰蓝瞳,低鼻根,高直鼻梁,方圆鼻头,薄唇,嘴角下垂,无标志,长菱形（中庭拉长），低眉骨/眼下饱满，短圆杏眼·眼尾平直·标准眼距，低鼻根/高直鼻梁/方圆鼻头，薄唇·嘴角下垂，收敛下颌
FD00006,上宽下窄脸,中庭展宽,窄额,内侧突出眉骨,眼下饱满,窄颧骨,薄面颊,窄下颌,疲惫眼,眼尾明显挑,窄眼距,淡金瞳,中鼻根,柔和鼻梁,骨感鼻头,上薄下厚,嘴角下垂,眼睑褶皱不对称,上宽下窄脸（中庭展宽），内侧突出眉骨/眼下饱满，疲惫眼·眼尾明显挑·窄眼距，中鼻根/柔和鼻梁/骨感鼻头，上薄下厚·嘴角下垂，窄下颌
FD00007,梨形脸,骨点外显,微凸额,厚眉骨,眼下饱满,外扩颧骨,成熟收紧面颊,骨感下颌,平凤眼,眼尾平直,宽眼距,深色瞳,中鼻根,轻微偏左鼻梁,小圆鼻头,厚唇,单侧上扬,瞳孔残缺,梨形脸（骨点外显），厚眉骨/眼下饱满，平凤眼·眼尾平直·宽眼距，中鼻根/轻微偏左鼻梁/小圆鼻头，厚唇·单侧上扬，骨感下颌
FD00008,长圆脸,骨点外显,平直额,薄眉骨,窄深眼窝,低颧骨,轻凹面颊,窄下颌,狭长瑞凤眼,眼尾平直,标准眼距,异色瞳,中鼻根,微弧鼻梁,方圆鼻头,宽嘴,嘴角下垂,眉心竖纹浅痕,长圆脸（骨点外显），薄眉骨/窄深眼窝，狭长瑞凤眼·眼尾平直·标准眼距，中鼻根/微弧鼻梁/方圆鼻头，宽嘴·嘴角下垂，窄下颌
FD00009,长方脸,中庭拉长,平直额,高眉骨,窄深眼窝,低颧骨,薄面颊,宽下颌,丹凤眼,眼尾延展,宽眼距,环状虹膜,低鼻根,轻微偏左鼻梁,肉感鼻头,厚唇,嘴角下垂,颈侧细疤,长方脸（中庭拉长），高眉骨/窄深眼窝，丹凤眼·眼尾延展·宽眼距，低鼻根/轻微偏左鼻梁/肉感鼻头，厚唇·嘴角下垂，宽下颌
FD00010,圆脸,颧部外扩,饱满额,内侧突出眉骨,深眼窝,窄颧骨,饱满面颊,明显下颌角,短圆杏眼,眼尾延展,窄眼距,星点虹膜,中高鼻根,宽骨鼻梁,窄翼鼻头,小嘴,嘴角下垂,指节薄茧,圆脸（颧部外扩），内侧突出眉骨/深眼窝，短圆杏眼·眼尾延展·窄眼距，中高鼻根/宽骨鼻梁/窄翼鼻头，小嘴·嘴角下垂，明显下颌角
